Symbol,Year,Dividend Date,Market Capitalization,Count of total dividends paid for that year,How much was paid,Placing
ECL,2022,03/14/2022,49253888000,4,2.06,93
ECL,2022,06/17/2022,49253888000,4,2.06,94
ECL,2022,12/19/2022,49253888000,4,2.06,95
ECL,2022,09/19/2022,49253888000,4,2.06,96
ROP,2022,01/07/2022,48742387712,4,2.48,97
ROP,2022,07/07/2022,48742387712,4,2.48,98
ROP,2022,04/04/2022,48742387712,4,2.48,99
ROP,2022,10/05/2022,48742387712,4,2.48,100
KMB,2022,03/03/2022,47469506560,4,4.64,101
KMB,2022,06/09/2022,47469506560,4,4.64,102
KMB,2022,09/08/2022,47469506560,4,4.64,103
KMB,2022,12/08/2022,47469506560,4,4.64,104
EMR,2022,11/09/2022,46697267200,4,2.06,105
EMR,2022,08/11/2022,46697267200,4,2.06,106
EMR,2022,05/12/2022,46697267200,4,2.06,107
EMR,2022,02/10/2022,46697267200,4,2.06,108
O,2022,12/30/2022,40622215168,12,2.97,109
O,2022,04/29/2022,40622215168,12,2.97,110
O,2022,08/31/2022,40622215168,12,2.97,111
O,2022,07/29/2022,40622215168,12,2.97,112
O,2022,06/30/2022,40622215168,12,2.97,113
O,2022,05/31/2022,40622215168,12,2.97,114
O,2022,11/30/2022,40622215168,12,2.97,115
O,2022,01/31/2022,40622215168,12,2.97,116
O,2022,10/31/2022,40622215168,12,2.97,117
O,2022,03/31/2022,40622215168,12,2.97,118
O,2022,09/30/2022,40622215168,12,2.97,119
O,2022,02/28/2022,40622215168,12,2.97,120
SYY,2022,06/30/2022,36445970432,4,1.92,121
SYY,2022,03/31/2022,36445970432,4,1.92,122
SYY,2022,01/06/2022,36445970432,4,1.92,123
SYY,2022,10/06/2022,36445970432,4,1.92,124
NUE,2022,12/29/2022,35161174016,4,2.01,125
NUE,2022,09/29/2022,35161174016,4,2.01,126
NUE,2022,06/29/2022,35161174016,4,2.01,127
NUE,2022,03/30/2022,35161174016,4,2.01,128
GWW,2022,02/11/2022,33677107200,4,6.78,129
GWW,2022,05/06/2022,33677107200,4,6.78,130
GWW,2022,08/05/2022,33677107200,4,6.78,131
GWW,2022,11/10/2022,33677107200,4,6.78,132
TROW,2022,12/15/2022,23993272320,4,4.80,133
TROW,2022,09/14/2022,23993272320,4,4.80,134
TROW,2022,03/14/2022,23993272320,4,4.80,135
TROW,2022,06/14/2022,23993272320,4,4.80,136
CAH,2022,12/30/2022,21890508800,4,1.98,137
CAH,2022,03/31/2022,21890508800,4,1.98,138
CAH,2022,06/30/2022,21890508800,4,1.98,139
CAH,2022,09/30/2022,21890508800,4,1.98,140
RKT,2022,03/07/2022,16474716160,1,1.01,141
BEN,2022,06/29/2022,12326239232,4,1.17,142
BEN,2022,03/30/2022,12326239232,4,1.17,143
BEN,2022,12/29/2022,12326239232,4,1.17,144
BEN,2022,09/29/2022,12326239232,4,1.17,145
STAG,2022,01/28/2022,6346951680,12,1.46,146
STAG,2022,05/27/2022,6346951680,12,1.46,147
STAG,2022,06/29/2022,6346951680,12,1.46,148
STAG,2022,02/25/2022,6346951680,12,1.46,149
STAG,2022,08/30/2022,6346951680,12,1.46,150
STAG,2022,09/29/2022,6346951680,12,1.46,151
STAG,2022,10/28/2022,6346951680,12,1.46,152
STAG,2022,11/29/2022,6346951680,12,1.46,153
STAG,2022,12/29/2022,6346951680,12,1.46,154
STAG,2022,07/28/2022,6346951680,12,1.46,155
STAG,2022,03/30/2022,6346951680,12,1.46,156
STAG,2022,04/28/2022,6346951680,12,1.46,157
ADC,2022,02/25/2022,6137559552,12,2.81,158
ADC,2022,03/30/2022,6137559552,12,2.81,159
ADC,2022,04/28/2022,6137559552,12,2.81,160
ADC,2022,05/27/2022,6137559552,12,2.81,161
ADC,2022,06/29/2022,6137559552,12,2.81,162
ADC,2022,07/28/2022,6137559552,12,2.81,163
ADC,2022,08/30/2022,6137559552,12,2.81,164
ADC,2022,09/29/2022,6137559552,12,2.81,165
ADC,2022,10/28/2022,6137559552,12,2.81,166
ADC,2022,11/29/2022,6137559552,12,2.81,167
ADC,2022,01/28/2022,6137559552,12,2.81,168
ADC,2022,12/29/2022,6137559552,12,2.81,169
AGNC,2022,12/29/2022,5462679040,12,1.44,170
AGNC,2022,05/27/2022,5462679040,12,1.44,171
AGNC,2022,01/28/2022,5462679040,12,1.44,172
AGNC,2022,02/25/2022,5462679040,12,1.44,173
AGNC,2022,03/30/2022,5462679040,12,1.44,174
AGNC,2022,04/28/2022,5462679040,12,1.44,175
AGNC,2022,11/29/2022,5462679040,12,1.44,176
AGNC,2022,06/29/2022,5462679040,12,1.44,177
AGNC,2022,08/30/2022,5462679040,12,1.44,178
AGNC,2022,09/29/2022,5462679040,12,1.44,179
AGNC,2022,10/28/2022,5462679040,12,1.44,180
AGNC,2022,07/28/2022,5462679040,12,1.44,181
MAIN,2022,06/21/2022,3155099392,16,2.94,182
MAIN,2022,10/06/2022,3155099392,16,2.94,183
MAIN,2022,09/19/2022,3155099392,16,2.94,184
MAIN,2022,09/01/2022,3155099392,16,2.94,185
MAIN,2022,08/01/2022,3155099392,16,2.94,186
MAIN,2022,07/01/2022,3155099392,16,2.94,187
MAIN,2022,05/02/2022,3155099392,16,2.94,188
MAIN,2022,06/01/2022,3155099392,16,2.94,189
MAIN,2022,04/01/2022,3155099392,16,2.94,190
MAIN,2022,03/21/2022,3155099392,16,2.94,191
MAIN,2022,03/01/2022,3155099392,16,2.94,192
MAIN,2022,12/07/2022,3155099392,16,2.94,193
MAIN,2022,01/03/2022,3155099392,16,2.94,194
MAIN,2022,11/07/2022,3155099392,16,2.94,195
MAIN,2022,12/19/2022,3155099392,16,2.94,196
MAIN,2022,02/01/2022,3155099392,16,2.94,197
PSEC,2022,02/23/2022,2585946624,12,0.72,198
PSEC,2022,09/27/2022,2585946624,12,0.72,199
PSEC,2022,03/28/2022,2585946624,12,0.72,200
PSEC,2022,01/26/2022,2585946624,12,0.72,201
PSEC,2022,12/27/2022,2585946624,12,0.72,202
PSEC,2022,11/25/2022,2585946624,12,0.72,203
PSEC,2022,10/26/2022,2585946624,12,0.72,204
PSEC,2022,08/26/2022,2585946624,12,0.72,205
PSEC,2022,07/26/2022,2585946624,12,0.72,206
PSEC,2022,06/27/2022,2585946624,12,0.72,207
PSEC,2022,05/26/2022,2585946624,12,0.72,208
PSEC,2022,04/26/2022,2585946624,12,0.72,209
LTC,2022,05/20/2022,1326748160,12,2.28,210
LTC,2022,01/20/2022,1326748160,12,2.28,211
LTC,2022,02/17/2022,1326748160,12,2.28,212
LTC,2022,03/22/2022,1326748160,12,2.28,213
LTC,2022,04/20/2022,1326748160,12,2.28,214
LTC,2022,11/21/2022,1326748160,12,2.28,215
LTC,2022,06/21/2022,1326748160,12,2.28,216
LTC,2022,07/20/2022,1326748160,12,2.28,217
LTC,2022,08/22/2022,1326748160,12,2.28,218
LTC,2022,09/21/2022,1326748160,12,2.28,219
LTC,2022,10/20/2022,1326748160,12,2.28,220
LTC,2022,12/21/2022,1326748160,12,2.28,221
